id,old_msg,message,old_desc,description
depositFromAccount,Deposit from another account,Ký gửi từ một tài khoản khác,,
depositShapeShift,Deposit with ShapeShift,Ký gửi với ShapeShift,,
depositShapeShiftExplainer,"If you own other cryptocurrencies, you can trade and deposit Ether directly into your MetaMask wallet. No Account Needed.","Nếu bạn sở hữu các đồng tiền điện tử khác, bạn có thể giao dịch và ký gửi Ether trực tiếp vào ví MetaMask của bạn. Không cần tạo thêm tài khoản.",,
details,Details,Chi tiết,,
directDeposit,Direct Deposit,Ký gửi trực tiếp,,
directDepositEther,Directly Deposit Ether,Ký gửi Ether trực tiếp,,
directDepositEtherExplainer,"If you already have some Ether, the quickest way to get Ether in your new wallet by direct deposit.","Nếu bạn đã có sẵn vài Ether, cách nhanh nhất để thêm Ether vào ví tiền mới của bạn là bằng ký gửi trực tiếp.",,
done,Done,Hoàn tất,,
edit,Edit,Chỉnh sửa,,
editAccountName,Edit Account Name,Chỉnh sửa tên tài khoản,,
encryptNewDen,Encrypt your new DEN,Mã hóa số DEN mới của bạn,,
enterPassword,Enter password,Nhập mật khẩu,,
etherscanView,View account on Etherscan,Xem tài khoản trên Etherscan,,
exchangeRate,Exchange Rate,Tỷ giá,,
exportPrivateKey,Export Private Key,Xuất mã khóa cá nhân,,
exportPrivateKeyWarning,Export private keys at your own risk.,Xuất mã khóa cá nhân theo rủi ro tự chịu,,
failed,Failed,Không thành công,,
fiat,FIAT,FIAT,Exchange type,Hình thức giao dịch
fileImportFail,File import not working? Click here!,Tập tin đã nhập không hoạt động? Nhấp vào đây!,Helps user import their account from a JSON file,Giúp người dùng nhập tài khoản từ tập tin JSON
from,From,Từ,,
fromShapeShift,From ShapeShift,Từ ShapeShift,,
gas,Gas,Ga,Short indication of gas cost,Viết tắt của giá ga
gasFee,Gas Fee,Tiền ga,,
gasLimit,Gas Limit,Hạn mức ga,,
gasLimitCalculation,We calculate the suggested gas limit based on network success rates.,Chúng tôi tính toán và gợi ý một hạn mức ga cụ thể dựa trên tỷ lệ thành công của hệ thống.,,
gasLimitRequired,Gas Limit Required,Hạn mức ga được yêu cầu,,
gasLimitTooLow,Gas limit must be at least 21000,Hạn mức ga phải đạt tối thiểu 21000,,
gasPrice,Gas Price (GWEI),Giá ga (GWEI),,
gasPriceCalculation,We calculate the suggested gas prices based on network success rates.,Chúng tôi tính toán và gợi ý một giá ga cụ thể dựa trên tỷ lệ thành công của hệ thống.,,
gasPriceRequired,Gas Price Required,Giá ga được yêu cầu,,
getEther,Get Ether,Lấy Ether,,
getEtherFromFaucet,Get Ether from a faucet for the $1,Lấy Ether từ vòi với giá $1,Displays network name for Ether faucet,Hiển thị tên mạng cho vòi Ether
greaterThanMin,must be greater than or equal to $1.,phải nhiều hơn hoặc bằng $1,helper for inputting hex as decimal input,trợ giúp để nhập hex dưới dạng số thập phân
here,here,tại đây,as in -click here- for more information (goes with troubleTokenBalances),như trong -Nhấp vào đây để xem thêm thông tin- (dùng với các số dư token có vấn đề)
hide,Hide,Ẩn,,
hideToken,Hide Token,Ẩn mã token,,
hideTokenPrompt,Hide Token?,Ẩn mã token?,,
howToDeposit,How would you like to deposit Ether?,Bạn muốn ký gửi Ether bằng cách nào?,,
import,Import,Nhập,Button to import an account from a selected file,Nút để nhập tài khoản từ một tập tin đã chọn
importAccount,Import Account,Nhập tài khoản,,
importAnAccount,Import an account,Nhập một tài khoản,,
importDen,Import Existing DEN,Nhập mã DEN hiện hành,,
imported,Imported,Đã nhập,status showing that an account has been fully loaded into the keyring,Trạng thái hiển thị cho một tài khoản đã được tải toàn bộ vào chùm chìa khóa
infoHelp,Info & Help,Thông tin & Trợ giúp,,
invalidAddress,Invalid address,Địa chỉ không hợp lệ,,
invalidGasParams,Invalid Gas Parameters,Thông số ga không hợp lệ,,
invalidInput,Invalid input.,Thông tin nhập vào không hợp lệ,,
invalidRequest,Invalid Request,Yêu cầu không hợp lệ,,
jsonFile,JSON File,Tập tin JSON,format for importing an account,định dạng để nhập tài khoản
kovan,Kovan Test Network,Mạng thử nghiệm Kovan,,
lessThanMax,must be less than or equal to $1.,phải ít hơn hoặc bằng $1.,helper for inputting hex as decimal input,trợ giúp để nhập hex dưới dạng số thập phân
limit,Limit,Giới hạn,,
loading,Loading...,Đang tải...,,
loadingTokens,Loading Tokens...,Đang tải mã token...,,
localhost,Localhost 8545,Localhost 8545,,
logout,Log out,Thoát,,
loose,Loose,Nới lỏng,,
mainnet,Main Ethereum Network,Mạng Ethereum MainNet (tiền ETH thật),,
message,Message,Tin nhắn,,
min,Minimum,Tối thiểu,,
myAccounts,My Accounts,Tài khoản của tôi,,
needEtherInWallet,"To interact with decentralized applications using MetaMask, you’ll need Ether in your wallet.","Để tương tác với các ứng dụng phân tán bằng MetaMask, bạn sẽ phải cần có Ether trong ví của bạn.",,
needImportFile,You must select a file to import.,Bạn phải chọn một tập tin để nhập.,User is important an account and needs to add a file to continue,Người dùng đang nhập một tài khoản và cần thêm tập tin để tiếp tục
needImportPassword,You must enter a password for the selected file.,Bạn phải điền mật khẩu cho tập tin đã chọn.,Password and file needed to import an account,Mật khẩu và tập tin cần thiết để nhập một tài khoản
networks,Networks,Các mạng lưới,,
newAccount,New Account,Tài khoản mới,,
newAccountNumberName,Account $1,Tài khoản $1,Default name of next account to be created on create account screen,Tên mặc định của tài khoản tiếp theo để tạo trên màn hình tài khoản
newContract,New Contract,Hợp đồng mới,,
newPassword,New Password (min 8 chars),Mật khẩu mới (tối thiểu 8 ký tự),,
newRecipient,New Recipient,Người nhận mới,,
next,Next,Kế tiếp,,
noAddressForName,No address has been set for this name.,Không có địa chỉ nào được ấn định cho tên này.,,
noDeposits,No deposits received,Không có tiền ký gửi nào được nhận,,
noTransactionHistory,No transaction history.,Không có lịch sử giao dịch,,
noTransactions,No Transactions,Không có giao dịch,,
notStarted,Not Started,Chưa bắt đầu,,
oldUI,Old UI,Giao diện cũ,,
oldUIMessage,You have returned to the old UI. You can switch back to the New UI through the option in the top right dropdown menu.,Bạn vừa quay về giao diện cũ. Bạn có thể chuyển đổi sang giao diện mới bằng tùy chọn trong menu ở góc phải trên cùng.,,
or,or,hoặc,choice between creating or importing a new account,lựa chọn giữa tạo hay nhập một tài khoản mới
passwordMismatch,passwords don't match,mật khẩu không khớp,"in password creation process, the two new password fields did not match","trong quá trình tạo mật khẩu, hai trường mật khẩu mới không khớp"
passwordShort,password not long enough,mật khẩu không đủ dài,"in password creation process, the password is not long enough to be secure","trong quá trình tạo mật khẩu, mật khẩu không đủ dài để đảm bảo an toàn"
pastePrivateKey,Paste your private key string here:,Dán dãy khóa cá nhân của bạn tại đây:,For importing an account from a private key,Dùng cho việc nhập tài khoản từ một khóa cá nhân
pasteSeed,Paste your seed phrase here!,Dán Mật Khẩu Sinh Khoá (seed phrase) của bạn tại đây!,,
pleaseReviewTransaction,Please review your transaction.,Vui lòng xem lại giao dịch của bạn.,,
privateKey,Private Key,Khóa Bí Mật,select this type of file to use to import an account,chọn định dạng tập tin này để nhập một tài khoản
privateKeyWarning,Warning: Never disclose this key. Anyone with your private keys can take steal any assets held in your account.,Cảnh báo: Không bao giờ được tiết lộ khóa này. Bất kỳ ai có Khóa Bí Mật của bạn đều có thể đánh cắp tài sản được giữ trong tài khoản của bạn.,,
privateNetwork,Private Network,Mạng lưới riêng,,
qrCode,Show QR Code,Hiển thị mã QR,,
readMore,Read more here.,Đọc thêm tại đây.,,
readdToken,You can add this token back in the future by going go to “Add token” in your accounts options menu.,"Bạn có thể thêm trở lại mã token này bằng cách nhấn ""Thêm mã token"" trong menu tùy chọn trong tài khoản của bạn.",,
receive,Receive,Nhận,,
recipientAddress,Recipient Address,Địa chỉ người nhận,,
refundAddress,Your Refund Address,Địa chỉ hoàn trả lại của bạn,,
rejected,Rejected,Không chấp thuận/Bị từ chối,,
required,Required,Yêu cầu,,
retryWithMoreGas,Retry with a higher gas price here,Thử lại với một giá ga cao hơn tại đây,,
revert,Revert,Chuyển lại,,
rinkeby,Rinkeby Test Network,Mạng thử nghiệm Rinkeby,,
ropsten,Ropsten Test Network,Mạng thử nghiệm Ropsten,,
sampleAccountName,E.g. My new account,"Ví dụ, Tài khoản mới của tôi",Help user understand concept of adding a human-readable name to their account,Giúp người dùng hiểu khái niệm thêm một cái tên có thể đọc được vào tài khoản của họ
save,Save,Lưu,,
saveAsFile,Save as File,Lưu lại dưới dạng tập tin,Account export process,Quá trình xuất tài khoản
selectService,Select Service,Chọn dịch vụ,,
send,Send,Gửi,,
sendTokens,Send Tokens,Gửi mã token,,
sendTokensAnywhere,Send Tokens to anyone with an Ethereum account,Gửi mã token đến bất kỳ ai có tài khoản Ethereum,,
settings,Settings,Cài đặt,,
shapeshiftBuy,Buy with Shapeshift,Mua với ShapeShift,,
showPrivateKeys,Show Private Keys,Hiển thị khóa cá nhân,,
showQRCode,Show QR Code,Hiển thị mã QR,,
sigRequest,Signature Request,Yêu cầu chữ ký,,
sigRequested,Signature Requested,Đã yêu cầu chữ ký,,
sign,Sign,Ký nhận,,
signMessage,Sign Message,Ký nhận tin nhắn,,
signNotice,"Signing this message can have \ndangerous side effects. Only sign messages from \nsites you fully trust with your entire account.\n This dangerous method will be removed in a future version. ",Ký nhận vào tin nhắn này có thể gây nguy hiểm. Chỉ nên ký nhận tin nhắn từ những nguồn bạn hoàn toàn tin tưởng có thể dùng với tài khoản của bạn. Cách thức nguy hiểm này sẽ bị xóa trong phiên bản sắp tới.,,
status,Status,Trạng thái,,
submit,Submit,Gửi đi,,
takesTooLong,Taking too long?,Chờ quá lâu?,,
testFaucet,Test Faucet,Vòi nhận tiền ETH ảo để thử nghiệm,,
to,To,Đến,,
toETHviaShapeShift,$1 to ETH via ShapeShift,$1 thành ETH qua ShapeShift,system will fill in deposit type in start of message,hệ thống sẽ điền vào loại tiền gửi khi bắt đầu tin nhắn
tokenBalance,Your Token Balance is:,Số dư token của bạn là:,,
total,Total,Tổng cộng,,
transactionMemo,Transaction memo (optional),Ghi nhớ giao dịch (tùy chọn),,
transactionNumber,Transaction Number,Số thứ tự giao dịch,,
transfers,Transfers,Các giao dịch,,
troubleTokenBalances,We had trouble loading your token balances. You can view them,Chúng tôi gặp sự cố khi tải số dư token của bạn. Xin vui lòng xem lại,Followed by a link (here) to view token balances,Kèm theo một đường link (tại đây) để xem số dư token.
typePassword,Type Your Password,Điền mật khẩu của bạn,,
uiWelcome,Welcome to the New UI (Beta),Chào mừng bạn đến với giao diện mới (Beta),,
uiWelcomeMessage,"You are now using the new Metamask UI. Take a look around, try out new features like sending tokens, and let us know if you have any issues.","Bạn đang sử dụng giao diện mới của Metamask. Chúng tôi khuyến khích bạn thử nghiệm và khám phá các tính năng mới như gửi token, và nếu bạn có gặp phải vấn đề gì khó khăn, xin hãy liên hệ ngay để chúng tôi có thể giúp đỡ bạn.",,
unavailable,Unavailable,Không có sẵn,,
unknown,Unknown,Không xác định,,
unknownNetwork,Unknown Private Network,Mạng lưới riêng không xác định,,
unknownNetworkId,Unknown network ID,ID không xác định,,
usaOnly,USA only,Chỉ áp dụng cho người dùng ở Mỹ,Using this exchange is limited to people inside the USA,Việc sử dụng hệ thống giao dịch này chỉ giới hạn cho người dùng ở Mỹ
usedByClients,Used by a variety of different clients,Được sử dụng bởi nhiều khách hàng khác nhau,,
viewAccount,View Account,Xem tài khoản,,
warning,Warning,Cảnh báo,,
whatsThis,What's this?,Đây là gì?,,
youSign,You are signing,Bạn đang ký nhận,,
yourSigRequested,Your signature is being requested,Chữ ký của bạn đang được yêu cầu,,
